PS C:\Users\sstraughen> Get-Command -Module 'VMware.Hv.Helper'

CommandType     Name                                               Version    Source
-----------     ----                                               -------    ------
Function        Add-HVDesktop                                      1.3.1      vmware.hv.helper
Function        Add-HVRDSServer                                    1.3.1      vmware.hv.helper
Function        Clear-HVEventDatabase                              1.3.1      vmware.hv.helper
Function        Connect-HVEvent                                    1.3.1      vmware.hv.helper
Function        Disconnect-HVEvent                                 1.3.1      vmware.hv.helper
Function        Get-HVApplication                                  1.3.1      vmware.hv.helper
Function        Get-HVBaseImageVM                                  1.3.1      vmware.hv.helper
Function        Get-HVEntitlement                                  1.3.1      vmware.hv.helper
Function        Get-HVEvent                                        1.3.1      vmware.hv.helper
Function        Get-HVEventDatabase                                1.3.1      vmware.hv.helper
Function        Get-HVFarm                                         1.3.1      vmware.hv.helper
Function        Get-HVFarmSummary                                  1.3.1      vmware.hv.helper
Function        Get-HVGlobalEntitlement                            1.3.1      vmware.hv.helper
Function        Get-HVGlobalSession                                1.3.1      vmware.hv.helper
Function        Get-HVGlobalSettings                               1.3.1      vmware.hv.helper
Function        Get-HVHealth                                       1.3.1      vmware.hv.helper
Function        Get-HVHomeSite                                     1.3.1      vmware.hv.helper
Function        Get-HVInternalName                                 1.3.1      vmware.hv.helper
Function        Get-HVlicense                                      1.3.1      vmware.hv.helper
Function        Get-HVLocalSession                                 1.3.1      vmware.hv.helper
Function        Get-HVMachine                                      1.3.1      vmware.hv.helper
Function        Get-HVMachineSummary                               1.3.1      vmware.hv.helper
Function        Get-HVPodFederation                                1.3.1      vmware.hv.helper
Function        Get-HVPool                                         1.3.1      vmware.hv.helper
Function        Get-HVPoolSpec                                     1.3.1      vmware.hv.helper
Function        Get-HVPoolSummary                                  1.3.1      vmware.hv.helper
Function        Get-HVPreInstalledApplication                      1.3.1      vmware.hv.helper
Function        Get-HVQueryFilter                                  1.3.1      vmware.hv.helper
Function        Get-HVQueryResult                                  1.3.1      vmware.hv.helper
Function        Get-HVResourceStructure                            1.3.1      vmware.hv.helper
Function        Get-HVSite                                         1.3.1      vmware.hv.helper
Function        Get-HVvCenterServer                                1.3.1      vmware.hv.helper
Function        Get-HVvCenterServerHealth                          1.3.1      vmware.hv.helper
Function        New-HVEntitlement                                  1.3.1      vmware.hv.helper
Function        New-HVFarm                                         1.3.1      vmware.hv.helper
Function        New-HVGlobalEntitlement                            1.3.1      vmware.hv.helper
Function        New-HVHomeSite                                     1.3.1      vmware.hv.helper
Function        New-HVManualApplication                            1.3.1      vmware.hv.helper
Function        New-HVPodFederation                                1.3.1      vmware.hv.helper
Function        New-HVPool                                         1.3.1      vmware.hv.helper
Function        New-HVPreInstalledApplication                      1.3.1      vmware.hv.helper
Function        New-HVSite                                         1.3.1      vmware.hv.helper
Function        Register-HVPod                                     1.3.1      vmware.hv.helper
Function        Remove-HVApplication                               1.3.1      vmware.hv.helper
Function        Remove-HVApplicationIcon                           1.3.1      vmware.hv.helper
Function        Remove-HVEntitlement                               1.3.1      vmware.hv.helper
Function        Remove-HVFarm                                      1.3.1      vmware.hv.helper
Function        Remove-HVGlobalEntitlement                         1.3.1      vmware.hv.helper
Function        Remove-HVMachine                                   1.3.1      vmware.hv.helper
Function        Remove-HVPodFederation                             1.3.1      vmware.hv.helper
Function        Remove-HVPool                                      1.3.1      vmware.hv.helper
Function        Remove-HVSite                                      1.3.1      vmware.hv.helper
Function        Reset-HVMachine                                    1.3.1      vmware.hv.helper
Function        Set-HVApplication                                  1.3.1      vmware.hv.helper
Function        Set-HVApplicationIcon                              1.3.1      vmware.hv.helper
Function        Set-HVEventDatabase                                1.3.1      vmware.hv.helper
Function        Set-HVFarm                                         1.3.1      vmware.hv.helper
Function        Set-HVGlobalEntitlement                            1.3.1      vmware.hv.helper
Function        Set-HVGlobalSettings                               1.3.1      vmware.hv.helper
Function        Set-HVInstantCloneMaintenance                      1.3.1      vmware.hv.helper
Function        Set-HVlicense                                      1.3.1      vmware.hv.helper
Function        Set-HVMachine                                      1.3.1      vmware.hv.helper
Function        Set-HVPodFederation                                1.3.1      vmware.hv.helper
Function        Set-HVPool                                         1.3.1      vmware.hv.helper
Function        Set-HVSite                                         1.3.1      vmware.hv.helper
Function        Start-HVFarm                                       1.3.1      vmware.hv.helper
Function        Start-HVPool                                       1.3.1      vmware.hv.helper
Function        Unregister-HVPod                                   1.3.1      vmware.hv.helper
