#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.Stat.LongSampleImpl
"VM","LastOSBoot","UptimeDays"
"HRGVM0820-12","10/13/2020 3:01:26 PM","8"
"HRGVM0820-4","8/10/2020 11:39:45 PM","72"
"HRGVM0820-18","9/28/2020 8:37:16 AM","24"
"HRGVM0820-6","8/10/2020 10:08:56 PM","72"
"HRGVM0820-5","8/10/2020 10:13:48 PM","72"
"HRGVM0820-23","10/1/2020 6:15:28 AM","21"
"HRGVM0820-22","9/21/2020 4:12:00 AM","31"
"HRGVM0820-9","9/29/2020 12:00:14 PM","23"
"HRGVM0820-21","9/21/2020 11:58:52 AM","31"
"HRGVM0820-7","9/18/2020 8:08:53 AM","34"
